MemTotal:        8025424 kB
MemFree:          181872 kB
MemAvailable:    4875636 kB
Buffers:         2272628 kB
Cached:          1200548 kB
SwapCached:            0 kB
Active:          2186824 kB
Inactive:        3962868 kB
Active(anon):    1658028 kB
Inactive(anon):  1019508 kB
Active(file):     528796 kB
Inactive(file):  2943360 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1048304 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             70068 kB
Writeback:            60 kB
AnonPages:       2619840 kB
Mapped:           393564 kB
Shmem:               944 kB
KReclaimable:    1424580 kB
Slab:            1571424 kB
SReclaimable:    1424580 kB
SUnreclaim:       146844 kB
KernelStack:       11984 kB
PageTables:        14824 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8640704 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5120 kB
AnonHugePages:   1118208 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
