MemTotal:        8025424 kB
MemFree:          243080 kB
MemAvailable:    4687256 kB
Buffers:         1470944 kB
Cached:          2083132 kB
SwapCached:         9472 kB
Active:          2144892 kB
Inactive:        4311744 kB
Active(anon):    1497700 kB
Inactive(anon):  1404860 kB
Active(file):     647192 kB
Inactive(file):  2906884 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:         676992 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             39404 kB
Writeback:            36 kB
AnonPages:       2769040 kB
Mapped:           124872 kB
Shmem:               328 kB
KReclaimable:    1093072 kB
Slab:            1217604 kB
SReclaimable:    1093072 kB
SUnreclaim:       124532 kB
KernelStack:       12048 kB
PageTables:        15524 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8797476 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5000 kB
AnonHugePages:   1363968 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
