MemTotal:        8025424 kB
MemFree:          297340 kB
MemAvailable:    4660964 kB
Buffers:         1456640 kB
Cached:          2024796 kB
SwapCached:         9048 kB
Active:          1894156 kB
Inactive:        4493424 kB
Active(anon):    1467136 kB
Inactive(anon):  1439272 kB
Active(file):     427020 kB
Inactive(file):  3054152 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:         676992 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             37080 kB
Writeback:             0 kB
AnonPages:       2763248 kB
Mapped:           124520 kB
Shmem:               256 kB
KReclaimable:    1085424 kB
Slab:            1207924 kB
SReclaimable:    1085424 kB
SUnreclaim:       122500 kB
KernelStack:       12128 kB
PageTables:        16132 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    9649744 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5000 kB
AnonHugePages:   1339392 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
