MemTotal:        8025424 kB
MemFree:          253912 kB
MemAvailable:    4694664 kB
Buffers:         1496744 kB
Cached:          2061696 kB
SwapCached:         9012 kB
Active:          2121652 kB
Inactive:        4295860 kB
Active(anon):    1757068 kB
Inactive(anon):  1102336 kB
Active(file):     364584 kB
Inactive(file):  3193524 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:         676992 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             44104 kB
Writeback:             0 kB
AnonPages:       2733356 kB
Mapped:           123320 kB
Shmem:               256 kB
KReclaimable:    1085616 kB
Slab:            1204444 kB
SReclaimable:    1085616 kB
SUnreclaim:       118828 kB
KernelStack:       12048 kB
PageTables:        16404 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    9104956 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5000 kB
AnonHugePages:   1355776 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
