MemTotal:        8025424 kB
MemFree:          280076 kB
MemAvailable:    4671956 kB
Buffers:         1483048 kB
Cached:          2025976 kB
SwapCached:        11124 kB
Active:          2497048 kB
Inactive:        3912060 kB
Active(anon):    2196944 kB
Inactive(anon):   703380 kB
Active(file):     300104 kB
Inactive(file):  3208680 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:         719996 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             44396 kB
Writeback:             0 kB
AnonPages:       2801732 kB
Mapped:           133136 kB
Shmem:               220 kB
KReclaimable:    1086068 kB
Slab:            1209248 kB
SReclaimable:    1086068 kB
SUnreclaim:       123180 kB
KernelStack:       12048 kB
PageTables:        15784 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8794252 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5000 kB
AnonHugePages:   1435648 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
