MemTotal:        8025424 kB
MemFree:          210336 kB
MemAvailable:    4684028 kB
Buffers:         1526104 kB
Cached:          2056444 kB
SwapCached:         9508 kB
Active:          2224900 kB
Inactive:        4233760 kB
Active(anon):    1478620 kB
Inactive(anon):  1397652 kB
Active(file):     746280 kB
Inactive(file):  2836108 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:         676992 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              5992 kB
Writeback:             8 kB
AnonPages:       2739664 kB
Mapped:           125744 kB
Shmem:               376 kB
KReclaimable:    1094276 kB
Slab:            1214980 kB
SReclaimable:    1094276 kB
SUnreclaim:       120704 kB
KernelStack:       12080 kB
PageTables:        15876 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8797720 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5000 kB
AnonHugePages:   1359872 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
