MemTotal:        8025424 kB
MemFree:          222148 kB
MemAvailable:    4662752 kB
Buffers:         1459436 kB
Cached:          2091768 kB
SwapCached:         9444 kB
Active:          2144796 kB
Inactive:        4312152 kB
Active(anon):    1501188 kB
Inactive(anon):  1404860 kB
Active(file):     643608 kB
Inactive(file):  2907292 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:         676992 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             14972 kB
Writeback:             0 kB
AnonPages:       2772176 kB
Mapped:           125296 kB
Shmem:               296 kB
KReclaimable:    1092676 kB
Slab:            1217272 kB
SReclaimable:    1092676 kB
SUnreclaim:       124596 kB
KernelStack:       11984 kB
PageTables:        15944 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8797220 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5000 kB
AnonHugePages:   1363968 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
