MemTotal:        8025424 kB
MemFree:          109600 kB
MemAvailable:    4604472 kB
Buffers:         1702520 kB
Cached:          1900180 kB
SwapCached:         9732 kB
Active:          1639952 kB
Inactive:        4915292 kB
Active(anon):    1446112 kB
Inactive(anon):  1506976 kB
Active(file):     193840 kB
Inactive(file):  3408316 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:         676992 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             29640 kB
Writeback:             0 kB
AnonPages:       2838164 kB
Mapped:           140320 kB
Shmem:               452 kB
KReclaimable:    1095688 kB
Slab:            1220816 kB
SReclaimable:    1095688 kB
SUnreclaim:       125128 kB
KernelStack:       12624 kB
PageTables:        16412 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    9327136 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5000 kB
AnonHugePages:   1353728 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
