MemTotal:        8025424 kB
MemFree:          103600 kB
MemAvailable:    4948744 kB
Buffers:         2148612 kB
Cached:          1473684 kB
SwapCached:            0 kB
Active:          3020500 kB
Inactive:        3203600 kB
Active(anon):    2543028 kB
Inactive(anon):    59836 kB
Active(file):     477472 kB
Inactive(file):  3143764 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1048572 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             46156 kB
Writeback:           176 kB
AnonPages:       2554744 kB
Mapped:           393268 kB
Shmem:              1068 kB
KReclaimable:    1426880 kB
Slab:            1561976 kB
SReclaimable:    1426880 kB
SUnreclaim:       135096 kB
KernelStack:       12016 kB
PageTables:        14764 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8303944 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             5120 kB
AnonHugePages:   1103872 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
