MemTotal:        8025424 kB
MemFree:          297648 kB
MemAvailable:    5596136 kB
Buffers:         2911912 kB
Cached:           523016 kB
SwapCached:         9172 kB
Active:          1536572 kB
Inactive:        3847288 kB
Active(anon):    1277004 kB
Inactive(anon):   672820 kB
Active(file):     259568 kB
Inactive(file):  3174468 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1008512 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             93112 kB
Writeback:            40 kB
AnonPages:       1836100 kB
Mapped:           309692 kB
Shmem:               564 kB
KReclaimable:    2067424 kB
Slab:            2211276 kB
SReclaimable:    2067424 kB
SUnreclaim:       143852 kB
KernelStack:       12352 kB
PageTables:        13712 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8382096 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6124 kB
VmallocChunk:          0 kB
Percpu:             4640 kB
AnonHugePages:    462848 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
