MemTotal:        8025424 kB
MemFree:          268932 kB
MemAvailable:    4855004 kB
Buffers:          753940 kB
Cached:          2774960 kB
SwapCached:        11148 kB
Active:          2141072 kB
Inactive:        4082832 kB
Active(anon):    1842052 kB
Inactive(anon):   853788 kB
Active(file):     299020 kB
Inactive(file):  3229044 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1007744 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             30728 kB
Writeback:           388 kB
AnonPages:       2578832 kB
Mapped:           355176 kB
Shmem:               616 kB
KReclaimable:    1260980 kB
Slab:            1396232 kB
SReclaimable:    1260980 kB
SUnreclaim:       135252 kB
KernelStack:       12736 kB
PageTables:        15784 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8706288 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6132 kB
VmallocChunk:          0 kB
Percpu:             4840 kB
AnonHugePages:    456704 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
