MemTotal:        8025424 kB
MemFree:          358780 kB
MemAvailable:    4971712 kB
Buffers:          841724 kB
Cached:          2747612 kB
SwapCached:         9952 kB
Active:          1941888 kB
Inactive:        4254228 kB
Active(anon):    1719776 kB
Inactive(anon):   887428 kB
Active(file):     222112 kB
Inactive(file):  3366800 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1007744 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1932 kB
Writeback:           100 kB
AnonPages:       2488820 kB
Mapped:           325236 kB
Shmem:               580 kB
KReclaimable:    1226992 kB
Slab:            1361240 kB
SReclaimable:    1226992 kB
SUnreclaim:       134248 kB
KernelStack:       12352 kB
PageTables:        15064 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    9048640 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             4800 kB
AnonHugePages:    464896 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
