MemTotal:        8025424 kB
MemFree:          212792 kB
MemAvailable:    5017936 kB
Buffers:         1119200 kB
Cached:          2673448 kB
SwapCached:         9920 kB
Active:          1867388 kB
Inactive:        4459040 kB
Active(anon):    1646620 kB
Inactive(anon):   887752 kB
Active(file):     220768 kB
Inactive(file):  3571288 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1007744 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             27480 kB
Writeback:             0 kB
AnonPages:       2416564 kB
Mapped:           324552 kB
Shmem:               532 kB
KReclaimable:    1216060 kB
Slab:            1350488 kB
SReclaimable:    1216060 kB
SUnreclaim:       134428 kB
KernelStack:       12272 kB
PageTables:        15264 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    9325968 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             4800 kB
AnonHugePages:    464896 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
