MemTotal:        8025424 kB
MemFree:          197864 kB
MemAvailable:    5211032 kB
Buffers:         2719320 kB
Cached:           761544 kB
SwapCached:         9288 kB
Active:          3656116 kB
Inactive:        2123396 kB
Active(anon):    1632020 kB
Inactive(anon):   667184 kB
Active(file):    2024096 kB
Inactive(file):  1456212 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1008512 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             11316 kB
Writeback:             0 kB
AnonPages:       2186532 kB
Mapped:           307004 kB
Shmem:               552 kB
KReclaimable:    1735832 kB
Slab:            1877740 kB
SReclaimable:    1735832 kB
SUnreclaim:       141908 kB
KernelStack:       12256 kB
PageTables:        14060 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8221496 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             4800 kB
AnonHugePages:    452608 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
