MemTotal:        8025424 kB
MemFree:          212860 kB
MemAvailable:    5204228 kB
Buffers:         2097708 kB
Cached:          1665968 kB
SwapCached:         9796 kB
Active:          1564240 kB
Inactive:        4509004 kB
Active(anon):    1376988 kB
Inactive(anon):   933020 kB
Active(file):     187252 kB
Inactive(file):  3575984 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1007744 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             57216 kB
Writeback:             0 kB
AnonPages:       2187444 kB
Mapped:           311712 kB
Shmem:               348 kB
KReclaimable:    1431104 kB
Slab:            1567204 kB
SReclaimable:    1431104 kB
SUnreclaim:       136100 kB
KernelStack:       12256 kB
PageTables:        14296 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8262780 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             4800 kB
AnonHugePages:    436224 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
