MemTotal:        8025424 kB
MemFree:          242080 kB
MemAvailable:    4893404 kB
Buffers:          811216 kB
Cached:          2760656 kB
SwapCached:        11276 kB
Active:          1704124 kB
Inactive:        4546164 kB
Active(anon):    1486772 kB
Inactive(anon):  1192036 kB
Active(file):     217352 kB
Inactive(file):  3354128 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1007744 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             34080 kB
Writeback:             0 kB
AnonPages:       2563648 kB
Mapped:           336076 kB
Shmem:               624 kB
KReclaimable:    1282816 kB
Slab:            1418024 kB
SReclaimable:    1282816 kB
SUnreclaim:       135208 kB
KernelStack:       12352 kB
PageTables:        15176 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    8493024 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6120 kB
VmallocChunk:          0 kB
Percpu:             4840 kB
AnonHugePages:    479232 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
