MemTotal:        8025424 kB
MemFree:          137504 kB
MemAvailable:    4756748 kB
Buffers:          948232 kB
Cached:          2546664 kB
SwapCached:        11280 kB
Active:          1850632 kB
Inactive:        4456880 kB
Active(anon):    1625048 kB
Inactive(anon):  1188408 kB
Active(file):     225584 kB
Inactive(file):  3268472 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       1048572 kB
SwapFree:        1007744 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:             27952 kB
Writeback:             0 kB
AnonPages:       2698112 kB
Mapped:           357812 kB
Shmem:               644 kB
KReclaimable:    1328160 kB
Slab:            1465652 kB
SReclaimable:    1328160 kB
SUnreclaim:       137492 kB
KernelStack:       12560 kB
PageTables:        16260 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5061284 kB
Committed_AS:    9860708 kB
VmallocTotal:   135288315904 kB
VmallocUsed:        6132 kB
VmallocChunk:          0 kB
Percpu:             4840 kB
AnonHugePages:    491520 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
